origin,destination,distance
EWR,JFK,21.0
WRG,PSG,31.0
PSG,WRG,31.0
LAX,SNA,36.0
JNU,GST,41.0
GST,JNU,41.0
PLN,CIU,49.0
SWF,LGA,52.0
SAV,BQK,62.0
MIA,PBI,62.0
RHI,IMT,67.0
ORD,MKE,67.0
MKE,ORD,67.0
CWA,ATW,67.0
IMT,RHI,67.0
SJU,STT,68.0
STT,SJU,68.0
MEI,PIB,69.0
PIB,MEI,69.0
MVY,BOS,70.0
BOS,MVY,70.0
DEN,COS,73.0
COS,DEN,73.0
CLL,IAH,74.0
DTW,LAN,74.0
LAN,DTW,74.0
IAH,CLL,74.0
MSP,RST,76.0
RST,MSP,76.0
MRY,SFO,77.0
SFO,MRY,77.0
EWR,PHL,80.0
KTN,WRG,82.0
WRG,KTN,82.0
CLT,GSO,83.0
ATL,CSG,83.0
GSO,CLT,83.0
JMS,DVL,83.0
DVL,JMS,83.0
CSG,ATL,83.0
ORD,SBN,84.0
SBN,ORD,84.0
GSO,ROA,84.0
KOA,OGG,84.0
OGG,KOA,84.0
SFO,SMF,86.0
HIB,INL,86.0
LAX,CLD,86.0
SMF,SFO,86.0
CLD,LAX,86.0
INL,HIB,86.0
FAR,JMS,88.0
SBA,LAX,89.0
DFW,ACT,89.0
GJT,ASE,89.0
ACT,DFW,89.0
LAX,SBA,89.0
PHL,BWI,90.0
BWI,PHL,90.0
BOS,ACK,91.0
ACK,BOS,91.0
BIL,COD,92.0
SEA,BLI,93.0
BLI,SEA,93.0
EWR,AVP,93.0
AVP,EWR,93.0
SJU,STX,94.0
STX,SJU,94.0
SIT,JNU,95.0
CLE,DTW,95.0
DTW,CLE,95.0
JNU,SIT,95.0
LGA,PHL,96.0
PHL,LGA,96.0
FCA,MSO,97.0
MBS,DTW,98.0
DTW,MBS,98.0
IAD,RIC,100.0
HNL,OGG,100.0
RIC,IAD,100.0
OGG,HNL,100.0
MSO,BTM,101.0
DFW,TYR,102.0
TYR,DFW,102.0
HNL,LIH,102.0
LIH,HNL,102.0
ATL,CHA,106.0
CHA,ATL,106.0
CRP,HRL,107.0
LBB,AMA,107.0
ORD,MSN,108.0
MSN,ORD,108.0
PUB,DEN,109.0
